code,message
01,操作成功
02,操作失败

201,【%s】不存在！
202,【%s】已存在！
203,文件目录创建失败！

301,价格不可小于等于0

501,编辑失败，不符合标准化规则！
502,已存在编辑之后的材价信息！

601,审核中不可删除
602,已分享不可删除
603,该状态下不可撤回
604,该状态下不可提交审核
605,该状态下不可审核
606,存在审核中或已分享的材料，操作失败
607,分享的材价存在内容不全材价，请补充完毕后再提交。
608,该分享材料已存在
609,分享到共享平台异常，审核通过失败！

701,验证码错误
702,账号或密码错误
703,短期间内账号密码错误10次，已被锁定。【%s】秒后可再试
704,登录失效，请重新登录
705,没有权限
706,该账号已存在
707,该角色已存在
708,旧密码错误
709,账号或姓名不能为空
710,角色名称不能为空
711,需绑定角色
712,账号由6-12位数字或英文组成！
713,旧密码不能为空！
714,新密码不能为空！

801,关联失败，存在二级分类时一级分类不可关联
802,关联失败，国标分类【%s】已被关联，不可重复关联
803,系统默认项不可操作
804,找不到文件！下载失败！
805,该来源存在材价，请删除对应材价才可删除！

900,批次名称已存在，无法提交

1001,账号绑定失败，%s
1002,获取微信二维码异常,%s
1003,微信绑定异常，%s
1004,已设置默认询价账号，请勿重复设置
1005,获取手机验证码异常，%s
